FileName,WaterMarked_LKH,WithoutWatermaking_LKH,Hypo_Result
" ",0,0,0
"1.pgm",0.0874145934576089,0.085274158450565,0
"10.pgm",0.849392928031804,0.900715041219787,0
"100b.pgm",0.103862412458596,0.0988579886597427,0
"11.pgm",0,0,0
"12.pgm",-0.424892152104969,-0.449845156008348,0
"13.pgm",0,0,0
"14.pgm",-13.7129679609409,-14.6190031865241,0
"15.pgm",-0.417189718906393,-0.420697106991696,0
"16.pgm",0.564525631195827,0.560861784157746,0
"17.pgm",0,0,0
"18.pgm",0.96021302902414,0.960085847180281,0
"19.pgm",0.632233810850389,0.629409691155783,0
"2.pgm",0.209289978242855,0.20508439101899,0
"20.pgm",0.77727711925014,0.773704769390066,0
"21.pgm",-1.27010664319828,-1.26795386788068,0
"22.pgm",-1.06588760447462,-1.06231689311123,0
"23.pgm",0,0,0
"24.pgm",-0.600708464050039,-0.603436745561743,0
"25.pgm",-0.837628284718512,-0.873791613262352,0
"26.pgm",-0.653771570028388,-0.673825151404998,0
"27.pgm",0,0,0
"28.pgm",0.287635110126433,0.286921098801617,0
"29.pgm",5.22181829073508,5.2519932903577,1
"3.pgm",-7.12624883295193,-6.5446657923569,0
"30.pgm",5.29668895430905,5.3374698965338,1
"31.pgm",1.54417430671309,1.54285656073726,1
"32.pgm",-1.2683401838713,-1.33319508369211,0
"33.pgm",-0.449969090552352,-0.459802427002984,0
"33b.pgm",0.470219427777981,0.465890896183177,0
"34.pgm",0.206475385224739,0.200253119679417,0
"35.pgm",0.870078229637694,0.868971247280564,0
"36.pgm",-3.09742993198186,-3.05689597121567,0
"37.pgm",-4.68657147770402,-4.70976398642924,0
"38.pgm",-Inf,-Inf,0
"39.pgm",-Inf,-Inf,0
"39b.pgm",-Inf,-Inf,0
"40.pgm",0.170882284110191,0.155929774034909,0
"40b.pgm",Inf,Inf,1
"41.pgm",0.0259041190212286,0.0212528479670754,0
"41b.pgm",0.75688169380689,0.753343212459502,0
"42.pgm",-0.187861001655766,-0.189557033974341,0
"43.pgm",0.81884105714828,0.817104190109803,0
"44.pgm",0.086409697128062,0.082501133390335,0
"45.pgm",-Inf,-Inf,0
"46.pgm",0.253088520965953,0.250962212547602,0
"46b.pgm",-151.546128940412,338.406899052348,0
"47.pgm",0.427152006448382,0.424590490955991,0
"48.pgm",0.592703691542919,0.584871247884511,0
"49.pgm",Inf,Inf,1
"5.2.09.pgm",0,0,0
"51b.pgm",-Inf,-Inf,0
"57b.pgm",-Inf,-Inf,0
"58b.pgm",-Inf,-Inf,0
"59b.pgm",0.845017360412266,0.843870018442854,0
"61b.pgm",-0.0405328849180667,-0.0558095273129141,0
"66b.pgm",0,0,0
"67b.pgm",-Inf,-Inf,0
"69b.pgm",-Inf,-Inf,0
"7.1.01.pgm",0,0,0
"7.1.02.pgm",0,0,0
"7.1.05.pgm",-0.271265828209347,-0.283446344118984,0
"7.pgm",-Inf,-Inf,0
"70b.pgm",-0.705231722710947,-0.71704412113333,0
"71b.pgm",-Inf,-Inf,0
"73b.pgm",-1.01995943903808,-1.00735357742771,0
"75b.pgm",Inf,Inf,1
"76b.pgm",-Inf,-Inf,0
"78b.pgm",-Inf,-Inf,0
"86b.pgm",0,0,0
"96b.pgm",0.513011534364405,0.509423406644509,0
"97b.pgm",Inf,Inf,1
"98b.pgm",Inf,Inf,1
"99b.pgm",0.21920724047596,0.219357305029456,0
"Stanwick.pgm",0.0868193576857395,0.083531077305263,0
"aerial1.pgm",1.78853331671654,1.79388135033828,1
"aerial2.pgm",0.061050338146239,0.0584332176808708,0
"bike.pgm",Inf,Inf,1
"bike3.pgm",0,0,0
"blackb.pgm",0,0,0
"cmpndd.pgm",5.91403996995559,5.92188808129577,1
"elaine.512.pgm",-0.027824063455184,-0.0329832304298759,0
"faces.pgm",-0.316999219845286,-0.322982471251644,0
"france.pgm",Inf,Inf,1
"gray21.512.pgm",Inf,Inf,1
"lena.pgm",-Inf,-Inf,0
"micro23.pgm",0,0,0
"micro26.pgm",0,0,0
"peppers.pgm",-1.70802719804054,-1.7029120790708,0
"portofino.pgm",-3.11299709226803,-3.352529966381,0
"ruler.512.pgm",0,0,0
"sar-large.pgm",1.94202778607975,1.95067314368153,1
"sf-large.pgm",0,0,0
"srl2-angkor.pgm",0.0448971850318033,0.0422240049830094,0
"srl2-teide.pgm",Inf,Inf,1
"washsat.pgm",0,0,0
"zelda.pgm",0.310059877700832,0.288525082646549,0
