FileName,mu,alpha,beta,Comment
" ",0,0,0," "
"1.pgm",0.481672038230851,0.391235797335245,11.4299315318179," "
"10.pgm",0.796078431372549,0.019524404141353,0.497151799680826," "
"100b.pgm",0.450913483280943,0.240525643529729,1.64294944682037," "
"11.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"12.pgm",0.336378605230111,0.385576336801093,7.52962708568096," "
"13.pgm",0.623942119864018,0.268711050280397,2.02016779473318," "
"14.pgm",0.361826452050953,0.229929445787098,1.76211101907982," "
"15.pgm",0.302268247589537,0.186026021600263,1.57710924758197," "
"16.pgm",0.428968310273521,0.441283989917774,5.3879113722517," "
"17.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"18.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"19.pgm",0.304319669380459,0.337919321633911,4.95916248708813," "
"2.pgm",0.434635628237985,0.25606727493389,1.78723475608639," "
"20.pgm",0.357875002280398,0.319302892943125,5.38642131663255," "
"21.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"22.pgm",0.399999633989371,0.126681134657419,1.13570043555125," "
"23.pgm",0.258823529412181,0.0658677543485301,0.785053648351142," "
"24.pgm",0.325490196078447,0.0118246947126645,0.476462271947534," "
"25.pgm",0.325490196076221,0.0688992681740839,0.979611900908736," "
"26.pgm",0.337254898671811,0.107506957272233,1.31884126214227," "
"27.pgm",0.265836757590318,0.162058552536331,1.27331083496954," "
"28.pgm",0.367746751931324,0.278706789967616,6.06419801651206," "
"29.pgm",0.306910190606784,0.325373708732573,3.74782007710595," "
"3.pgm",0.262730200320074,0.125600468566384,1.11851861976241," "
"30.pgm",0.312383904724826,0.273807227340389,1.61375874530361," "
"31.pgm",0.272971976097932,0.265098396427781,1.7678389361461," "
"32.pgm",0.398190949586353,0.454291660302876,15.4062608737886," "
"33.pgm",0.317647058823632,0.0986773217232441,0.838599477682789," "
"33b.pgm",0.474827282539518,0.382997871948283,11.2303348025865," "
"34.pgm",0.347444185849146,0.306908102735664,2.6232323896883," "
"35.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"36.pgm",0.281774534659773,0.272924835042994,2.83107965760194," "
"37.pgm",0.328810193954411,0.170976468934399,2.01986870246822," "
"38.pgm",0.389694899568497,0.263969844383657,18.2211787562106," "
"39.pgm",0.467695388840469,0.32136766974318,11.695315642986," "
"39b.pgm",0.546114566752064,0.449404950207511,142.782407032826," "
"40.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"40b.pgm",0.500187363255983,0.500364308469022,4410.19908932567," "
"41.pgm",0.485933744715157,0.214716585157441,1.60853421221881," "
"41b.pgm",0.486588653507377,0.452262542962558,10.6664987386471," "
"42.pgm",0.439218711519316,0.130915137252231,1.09484425707451," "
"43.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"44.pgm",0.515322824583789,0.283572397859535,1.89429499747496," "
"45.pgm",0.498251121566789,0.396857634491759,17.2685896105773," "
"46.pgm",0.467478838454126,0.355708896948669,3.08877251517157," "
"46b.pgm",0.293243345421016,0.253614982453692,1.62540310272717," "
"47.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"48.pgm",0.448815740026026,0.36788354633514,9.27606851284651," "
"49.pgm",0.500088902806541,0.500419139773169,8805.28351935537," "
"5.2.09.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"51b.pgm",0.45091267040068,0.405128171341837,13.7213460528042," "
"57b.pgm",0.55293916797265,0.444514419759959,79.9123312816165," "
"58b.pgm",0.489416825163596,0.441391448797792,18.7706905196311," "
"59b.pgm",0.604031680643326,0.402141582842139,5.38170487336965," "
"61b.pgm",0.567168845426143,0.435751706477363,8.50509613860022," "
"66b.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"67b.pgm",0.532937271219662,0.465911708138802,279.507949708475," "
"69b.pgm",0.541320061430692,0.453405105320079,61.1346468124733," "
"7.1.01.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"7.1.02.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"7.1.05.pgm",0.413066436893243,0.216217297071885,2.59463112276399," "
"7.pgm",0.554099757116087,0.449022125839914,13.5372879417221," "
"70b.pgm",0.56470588234923,0.142497077794725,1.09771932975955," "
"71b.pgm",0.494719494172025,0.49865806638801,270.279971983075," "
"73b.pgm",0.360985148138809,0.218555822169224,2.27805173851124," "
"75b.pgm",0.500020978124686,0.500133624453317,33907.3944102106," "
"76b.pgm",0.552788308987168,0.411456762458007,38.8737763711254," "
"78b.pgm",0.544074966737793,0.461366940215769,100.70109153618," "
"86b.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"96b.pgm",0.562649325194376,0.375958746551594,4.74561173265799," "
"97b.pgm",0.531971388634854,0.465220076001583,2841.27483482543," "
"98b.pgm",0.542849517221224,0.45691894632178,533.237266535411," "
"99b.pgm",0.521371963510515,0.323512365640686,3.11305259750721," "
"Stanwick.pgm",0.515322824583789,0.283572397859535,1.89429499747496," "
"aerial1.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"aerial2.pgm",0.570252025442291,0.277301240068673,1.72731747280765," "
"bike.pgm",0.500429881140581,0.501507156227636,1037.51452165231," "
"bike3.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"blackb.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"cmpndd.pgm",0.761650158869529,0.437397562251437,2.8347938168798," "
"elaine.512.pgm",0.538666482721445,0.304959514516124,3.36621848924437," "
"faces.pgm",0.468581035937717,0.36681603055234,2.85317743954652," "
"france.pgm",0.498008560583779,0.498202683199904,19341.0965164912," "
"gray21.512.pgm",0.500026432564846,0.50012563804253,34296.2019974762," "
"lena.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"micro23.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"micro26.pgm",0.223529411764627,0.106829007246755,1.06500316658887," "
"peppers.pgm",0.406038323508852,0.393366443697592,6.51413881693698," "
"portofino.pgm",0.347713160758714,0.159341236762821,1.2658439077495," "
"ruler.512.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"sar-large.pgm",0.345357038926254,0.184561695922091,1.54675215410152," "
"sf-large.pgm",0.275119240493589,0.260895213561177,3.28422553955319," "
"srl2-angkor.pgm",0.462863626413924,0.42384460008282,8.20341047165446," "
"srl2-teide.pgm",0.499623180719229,0.500979648316336,2660.50011403511," "
"washsat.pgm",0,0,0,"MLE for this IMAGE is INF or divided by ZERO (uncomputable) "
"zelda.pgm",0.343736471592318,0.284504537071033,7.39067356269966," "
